ClassUtil,Statement_Coverage,Branch_Coverage,CC,LOC,,,Mutation_Score
Note,0.03,0,8,16,Note.java,0.06,0
PageViewPlugin,0.87,0.75,7,18,PageViewPlugin.java,0.64,0.47
RecentChangesPlugin,0.8,0.61,24,97,RecentChangesPlugin.java,0.8,0.37
ReferredPagesPlugin,0,0,32,79,ReferredPagesPlugin.java,0,0
ReferringPagesPlugin,0.92,0.7,15,39,ReferringPagesPlugin.java,0.95,0.78
ReferringUndefinedPagesPlugin,1,0.71,10,30,ReferringUndefinedPagesPlugin.java,1,0.8
Search,0,0,12,56,Search.java,0,0
SessionsPlugin,0,0,10,27,SessionsPlugin.java,0,0
TableOfContents,0.9,0.76,29,100,TableOfContents.java,0.89,0.84
UndefinedPagesPlugin,1,1,4,12,UndefinedPagesPlugin.java,1,1
UnusedPagesPlugin,0,0,8,20,UnusedPagesPlugin.java,0,0
WeblogArchivePlugin,0,0,11,54,WeblogArchivePlugin.java,0,0
WeblogEntryPlugin,0.56,0.5,12,44,WeblogEntryPlugin.java,0.64,0.43
WeblogPlugin,0.14,0.14,31,126,WeblogPlugin.java,0.15,0.14
Preferences,0.35,0.32,29,91,Preferences.java,0.37,0.42
AbstractFileProvider,0.58,0.54,66,163,AbstractFileProvider.java,0.67,0.63
BasicAttachmentProvider,0.69,0.62,68,214,BasicAttachmentProvider.java,0.74,0.81
CachingAttachmentProvider,0.79,0.86,33,112,CachingAttachmentProvider.java,0.84,0.78
CachingProvider,0.77,0.75,59,198,CachingProvider.java,0.84,0.72
FileSystemProvider,0.9,0.85,18,60,FileSystemProvider.java,0.88,0.92
VersioningFileProvider,0.74,0.69,90,255,VersioningFileProvider.java,0.78,0.63
CleanTextRenderer,0.81,0.75,5,16,CleanTextRenderer.java,0.81,1
CreoleRenderer,0.98,0.97,21,56,CreoleRenderer.java,0.98,1
RenderingManager,0.72,0.78,34,110,RenderingManager.java,0.75,0.88
WysiwygEditingRenderer,0.87,0.41,15,52,WysiwygEditingRenderer.java,0.83,0.55
AtomAPIServlet,0,0,21,110,AtomAPIServlet.java,0,0
AtomFeed,0,0,13,63,AtomFeed.java,0,0
Feed,0.46,0,16,34,Feed.java,0.53,0
RSS10Feed,0.91,0.61,15,67,RSS10Feed.java,0.94,0.25
RSS20Feed,0.7,0.37,11,61,RSS20Feed.java,0.7,0.29
RSSGenerator,0.46,0.34,51,178,RSSGenerator.java,0.39,0.12
RSSThread,0.8,0.5,7,30,RSSThread.java,0.78,0
BasicSearchProvider,0.04,0,21,72,BasicSearchProvider.java,0.08,0
LuceneSearchProvider,0.66,0.48,46,229,LuceneSearchProvider.java,0.68,0.76
SearchManager,0.7,0.5,17,49,SearchManager.java,0.3,0.32
SearchManager.JSONSearch,0.02,0,25,75,SearchMatcher.java,0,0
SearchMatcher,0,0,14,27,SearchResultComparator.java,0,0
AdminBeanIteratorTag,0,0,6,15,AdminBeanIteratorTag.java,0,0
AttachmentsIteratorTag,0,0,12,43,AttachmentsIteratorTag.java,0,0
AuthorTag,0,0,5,15,AuthorTag.java,0,0
BreadcrumbsTag,0,0,17,40,BreadcrumbsTag.java,0,0
CalendarTag,0,0,31,120,CalendarTag.java,0,0
CheckLockTag,0,0,17,23,CheckLockTag.java,0,0
CheckRequestContextTag,0,0,10,20,CheckRequestContextTag.java,0,0
CheckVersionTag,0,0,22,31,CheckVersionTag.java,0,0
CommentLinkTag,0,0,7,18,CommentLinkTag.java,0,0
ContentTag,0,0,16,41,ContentTag.java,0,0
CookieTag,0,0,47,115,CookieTag.java,0,0
DiffLinkTag,0,0,21,51,DiffLinkTag.java,0,0
EditLinkTag,0,0,14,36,EditLinkTag.java,0,0
EditorIteratorTag,0,0,4,11,EditorIteratorTag.java,0,0
EditorTag,0,0,5,18,EditorTag.java,0,0
FeedDiscoveryTag,0,0,4,17,FeedDiscoveryTag.java,0,0
HasAttachmentsTag,0,0,7,12,HasAttachmentsTag.java,0,0
HistoryIteratorTag,0,0,11,35,HistoryIteratorTag.java,0,0
IfNoSearchResultsTag,0,0,4,5,IfNoSearchResultsTag.java,0,0
IncludeTag,0,0,8,22,IncludeTag.java,0,0
InsertDiffTag,0,0,9,25,InsertDiffTag.java,0,0
InsertPageTag,0,0,13,30,InsertPageTag.java,0,0
IteratorTag,0,0,20,43,IteratorTag.java,0,0
LinkTag,0,0,74,194,LinkTag.java,0,0
LinkToParentTag,0,0,5,12,LinkToParentTag.java,0,0
LinkToTag,0,0,16,38,LinkToTag.java,0,0
MessagesTag,0,0,13,35,MessagesTag.java,0,0
NextVersionTag,0,0,3,8,NextVersionTag.java,0,0
NoSuchPageTag,0,0,8,14,NoSuchPageTag.java,0,0
PageDateTag,0,0,8,19,PageDateTag.java,0,0
PageExistsTag,0,0,3,2,PageExistsTag.java,0,0
PageInfoLinkTag,0,0,9,23,PageInfoLinkTag.java,0,0
